device_uuid,trial_id,mode_group,detection_rate,detected_samples,total_samples,mae,rmse,avg_detection_latency,max_detection_latency,min_detection_latency,std_detection_latency,scenario
403841af-d006-4ce8-854d-b6ab105f150f,Trial_001,AB,100,8,8,12.13277087,16.69685419,8.31993875,24.903188,-0.987265,10.41051394,static_1m_5min
403841af-d006-4ce8-854d-b6ab105f150f,Trial_001,C,0,0,4,,,,,,,static_1m_5min
403841af-d006-4ce8-854d-b6ab105f150f,Trial_002,AB,100,8,8,5.82683325,9.875644028,3.04621925,15.704845,-0.458305,5.320550491,static_1m_15min
403841af-d006-4ce8-854d-b6ab105f150f,Trial_002,C,100,4,4,346.624161,472.4067391,96.90795075,216.316349,-0.953843,114.3271772,static_1m_15min
403841af-d006-4ce8-854d-b6ab105f150f,Trial_003,AB,100,8,8,6.449881125,10.29470997,4.03581875,19.663829,-0.827154,6.484974189,static_1m_20min
403841af-d006-4ce8-854d-b6ab105f150f,Trial_003,C,100,4,4,615.534464,706.1857888,194.8547868,433.862613,-0.99119,205.5409431,static_1m_20min
403841af-d006-4ce8-854d-b6ab105f150f,Trial_004,C,83.33333333,10,12,957.7236128,1389.274669,180.7786573,462.273625,-0.99119,174.5240713,Doze_mode_1m
403841af-d006-4ce8-854d-b6ab105f150f,Trial_005,AB,100,8,8,12.42724662,23.60760216,6.2071685,26.58638,-0.996834,12.01925082,pocket_1m
403841af-d006-4ce8-854d-b6ab105f150f,Trial_005,C,75,3,4,299.653097,299.6534986,-0.230463667,0.094566,-0.749313,0.454100748,pocket_1m
403841af-d006-4ce8-854d-b6ab105f150f,Trial_006,AB,100,8,8,158.8652831,197.4338335,67.63733388,232.491144,1.8833,77.94956706,metal_interference_1m
403841af-d006-4ce8-854d-b6ab105f150f,Trial_006,C,0,0,4,,,,,,,metal_interference_1m
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_001,AB,100,8,8,15.00451963,20.06271365,10.31766763,23.511645,-0.950332,12.15874116,static_1m_5min
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_001,C,0,0,4,,,,,,,static_1m_5min
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_002,AB,100,8,8,6.2021535,9.879937098,4.04332425,23.236726,-0.921966,8.111233387,static_1m_15min
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_002,C,50,2,4,132.740786,184.2616207,59.909398,120.693546,-0.87475,85.96176648,static_1m_15min
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_003,AB,100,8,8,11.83870537,16.33305691,8.01405675,22.396368,-0.452965,9.393667698,static_1m_20min
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_003,C,75,3,4,522.179765,530.0576931,152.026978,269.779038,14.196856,128.9686372,static_1m_20min
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_004,C,75,9,12,1505.679126,2006.459098,201.260383,480.090949,-0.87475,189.5386082,Doze_mode_1m
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_005,AB,100,8,8,13.6090675,17.77813724,9.621955,23.101698,1.382113,10.01394366,pocket_1m
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_005,C,25,1,4,300,300,0.554662,0.554662,0.554662,,pocket_1m
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_006,AB,100,8,8,94.21913488,151.1616652,89.01724475,297.13486,4.556693,128.5339299,metal_interference_1m
bbbe7f51-5630-4df7-bd19-84c2ecea35f3,Trial_006,C,75,3,4,299.2248813,299.2251028,244.9539203,296.645647,154.091173,78.93808434,metal_interference_1m
