trial_id,uuid,session_count,avg_median_RSSI,std_median_RSSI,avg_max_RSSI,std_max_RSSI,min_median_RSSI,max_median_RSSI,min_max_RSSI,max_max_RSSI,device_label,scenario_label
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,8,-68.0625,0.8634441,-65.5,1.414213562,-69.5,-67.0,-67,-63,Device A,Static 5min
Trial_001,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,8,-67.8125,0.65123509,-64.375,1.846811925,-69.0,-67.0,-67,-62,Device B,Static 5min
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,12,-71.54166667,3.312910924,-68.08333333,5.212891944,-77.0,-68.0,-75,-63,Device A,Static 15min
Trial_002,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,10,-69.7,2.907843798,-65.5,4.453463072,-75.0,-67.0,-74,-61,Device B,Static 15min
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,12,-69.58333333,1.083624669,-66.33333333,1.370688834,-71.0,-68.0,-68,-64,Device A,
Trial_003,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,11,-68.54545455,1.293339581,-64.54545455,1.368476259,-70.0,-66.0,-66,-62,Device B,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,10,-72.8,3.816630276,-71.2,4.516635916,-78.0,-68.0,-77,-66,Device A,Doze Mode
Trial_004,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,9,-71.77777778,3.632415786,-69.88888889,4.539946157,-76.0,-67.0,-76,-65,Device B,Doze Mode
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,11,-75.27272727,1.737291518,-71.54545455,2.621588693,-77.0,-73.0,-77,-68,Device A,Pocket
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,9,-73.94444444,2.127857556,-70.55555556,1.810463415,-76.0,-71.0,-73,-68,Device B,Pocket
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,8,-78.75,0.46291005,-78.0,0.534522484,-79.0,-78.0,-79,-77,Device A,Metal Interference
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,11,-78.90909091,0.202259959,-78.18181818,0.981649817,-79.0,-78.5,-79,-76,Device B,Metal Interference
